it: 27, min: 7.972424030303955, max: 15.976909637451172, mean: 11.839752197265625, var: 1.515435814857483, global_min: 1.278172492980957
it: 28, min: 8.302083969116211, max: 15.566144943237305, mean: 11.8834810256958, var: 1.2832199335098267, global_min: 1.278172492980957
it: 29, min: 7.9645209312438965, max: 15.3458251953125, mean: 11.851511001586914, var: 1.2342498302459717, global_min: 1.278172492980957
it: 30, min: 8.261128425598145, max: 14.883848190307617, mean: 11.88044548034668, var: 1.2516995668411255, global_min: 1.278172492980957
it: 31, min: 6.937728404998779, max: 15.992831230163574, mean: 11.759955406188965, var: 1.734743595123291, global_min: 1.278172492980957
it: 32, min: 5.81611967086792, max: 15.34463119506836, mean: 11.649914741516113, var: 2.287529230117798, global_min: 1.278172492980957
it: 33, min: 1.9558569192886353, max: 15.838810920715332, mean: 11.409639358520508, var: 3.6514480113983154, global_min: 1.278172492980957
it: 34, min: 2.127878427505493, max: 16.19915199279785, mean: 11.403027534484863, var: 4.129086494445801, global_min: 1.278172492980957
it: 35, min: 2.306725025177002, max: 15.404585838317871, mean: 11.096593856811523, var: 4.76457405090332, global_min: 1.278172492980957
it: 36, min: 1.0813629627227783, max: 15.717249870300293, mean: 11.213140487670898, var: 5.338809490203857, global_min: 1.0813629627227783
it: 37, min: 1.8098690509796143, max: 16.21669578552246, mean: 10.932113647460938, var: 4.800278663635254, global_min: 1.0813629627227783
it: 38, min: 1.3844205141067505, max: 15.729914665222168, mean: 11.01400089263916, var: 5.453502178192139, global_min: 1.0813629627227783
it: 39, min: 4.493707180023193, max: 16.63687515258789, mean: 11.169010162353516, var: 3.5960311889648438, global_min: 1.0813629627227783
it: 40, min: 4.776125431060791, max: 15.13704776763916, mean: 11.277480125427246, var: 2.4377355575561523, global_min: 1.0813629627227783
it: 41, min: 4.485838413238525, max: 15.044118881225586, mean: 11.097546577453613, var: 2.7292819023132324, global_min: 1.0813629627227783
it: 42, min: 6.697005271911621, max: 15.21675968170166, mean: 11.125638961791992, var: 2.560098171234131, global_min: 1.0813629627227783
it: 43, min: 5.2085185050964355, max: 15.790916442871094, mean: 11.121469497680664, var: 3.005093812942505, global_min: 1.0813629627227783
it: 44, min: 6.1352620124816895, max: 15.755784034729004, mean: 10.820685386657715, var: 3.5548689365386963, global_min: 1.0813629627227783
it: 45, min: 6.375674724578857, max: 15.877771377563477, mean: 10.449481964111328, var: 4.296685695648193, global_min: 1.0813629627227783
it: 46, min: 5.731417655944824, max: 16.660518646240234, mean: 10.269712448120117, var: 5.529887676239014, global_min: 1.0813629627227783
it: 47, min: 4.339672088623047, max: 16.382272720336914, mean: 10.397611618041992, var: 6.70920467376709, global_min: 1.0813629627227783
it: 48, min: 4.574860572814941, max: 16.127307891845703, mean: 10.06971263885498, var: 6.677462577819824, global_min: 1.0813629627227783
it: 49, min: 3.77837872505188, max: 16.237924575805664, mean: 9.744545936584473, var: 7.571649074554443, global_min: 1.0813629627227783
it: 50, min: 4.464740753173828, max: 16.261194229125977, mean: 9.433608055114746, var: 8.30502700805664, global_min: 1.0813629627227783
it: 51, min: 2.5328941345214844, max: 16.28032684326172, mean: 9.628363609313965, var: 7.890552997589111, global_min: 1.0813629627227783
it: 52, min: 4.028921127319336, max: 16.544065475463867, mean: 9.480277061462402, var: 9.04574966430664, global_min: 1.0813629627227783
it: 53, min: 4.01822566986084, max: 17.51871109008789, mean: 9.388667106628418, var: 9.2088041305542, global_min: 1.0813629627227783
it: 54, min: 3.3871235847473145, max: 16.178871154785156, mean: 9.610013008117676, var: 8.545520782470703, global_min: 1.0813629627227783
it: 55, min: 4.283100128173828, max: 16.576642990112305, mean: 9.79945182800293, var: 8.591083526611328, global_min: 1.0813629627227783
it: 56, min: 3.709089517593384, max: 16.273244857788086, mean: 9.565324783325195, var: 8.68120002746582, global_min: 1.0813629627227783
it: 57, min: 1.982058048248291, max: 17.163606643676758, mean: 9.835789680480957, var: 9.188432693481445, global_min: 1.0813629627227783
it: 58, min: 4.452631950378418, max: 16.695608139038086, mean: 9.797464370727539, var: 8.432616233825684, global_min: 1.0813629627227783
it: 59, min: 2.800654888153076, max: 16.39453887939453, mean: 9.516852378845215, var: 7.845785140991211, global_min: 1.0813629627227783
it: 60, min: 2.259441614151001, max: 16.388959884643555, mean: 9.669167518615723, var: 8.244372367858887, global_min: 1.0813629627227783
it: 61, min: 3.1238601207733154, max: 17.171707153320312, mean: 9.830378532409668, var: 7.348934173583984, global_min: 1.0813629627227783
