it: 95, min: -362.74969482421875, max: -350.7673034667969, mean: -357.9031066894531, var: 5.057098388671875, global_min: -364.1564025878906
it: 96, min: -362.9776916503906, max: -350.9669494628906, mean: -357.965576171875, var: 5.854651927947998, global_min: -364.1564025878906
it: 97, min: -363.4063720703125, max: -350.8705749511719, mean: -358.0121765136719, var: 5.761938571929932, global_min: -364.1564025878906
it: 98, min: -364.2081298828125, max: -348.4267883300781, mean: -357.47674560546875, var: 5.934317111968994, global_min: -364.2081298828125
it: 99, min: -363.1195983886719, max: -350.71636962890625, mean: -357.7816467285156, var: 5.010861396789551, global_min: -364.2081298828125
it: 100, min: -363.21295166015625, max: -351.5155334472656, mean: -357.7297668457031, var: 4.807183265686035, global_min: -364.2081298828125
it: 101, min: -363.5149841308594, max: -351.45086669921875, mean: -357.9818420410156, var: 5.0842766761779785, global_min: -364.2081298828125
it: 102, min: -364.05596923828125, max: -350.99462890625, mean: -357.81146240234375, var: 5.512146949768066, global_min: -364.2081298828125
it: 103, min: -364.0442199707031, max: -351.6882629394531, mean: -358.11285400390625, var: 5.106410503387451, global_min: -364.2081298828125
it: 104, min: -363.7234191894531, max: -351.9356994628906, mean: -358.01959228515625, var: 5.4105939865112305, global_min: -364.2081298828125
it: 105, min: -362.90826416015625, max: -350.61773681640625, mean: -358.105224609375, var: 5.185050964355469, global_min: -364.2081298828125
it: 106, min: -363.44805908203125, max: -352.298828125, mean: -357.9476623535156, var: 4.277631759643555, global_min: -364.2081298828125
it: 107, min: -363.1314697265625, max: -353.048095703125, mean: -358.12042236328125, var: 4.088010787963867, global_min: -364.2081298828125
it: 108, min: -363.1786193847656, max: -351.67352294921875, mean: -357.9224853515625, var: 4.6532392501831055, global_min: -364.2081298828125
it: 109, min: -363.2060241699219, max: -351.65350341796875, mean: -358.13531494140625, var: 4.692882537841797, global_min: -364.2081298828125
it: 110, min: -362.8874206542969, max: -350.826416015625, mean: -358.0985412597656, var: 4.935967922210693, global_min: -364.2081298828125
it: 111, min: -363.470703125, max: -350.0159912109375, mean: -358.2312316894531, var: 5.31862735748291, global_min: -364.2081298828125
it: 112, min: -363.0682067871094, max: -352.41461181640625, mean: -358.1703796386719, var: 4.5432844161987305, global_min: -364.2081298828125
it: 113, min: -363.2218322753906, max: -351.3397521972656, mean: -358.3180236816406, var: 4.155836582183838, global_min: -364.2081298828125
it: 114, min: -363.5881652832031, max: -352.21368408203125, mean: -358.0520324707031, var: 4.5314555168151855, global_min: -364.2081298828125
it: 115, min: -363.8084411621094, max: -352.216552734375, mean: -358.4563903808594, var: 5.42763614654541, global_min: -364.2081298828125
it: 116, min: -363.6278076171875, max: -351.76055908203125, mean: -358.1786193847656, var: 5.580483436584473, global_min: -364.2081298828125
it: 117, min: -363.8704833984375, max: -352.7972106933594, mean: -358.4071350097656, var: 5.9465508460998535, global_min: -364.2081298828125
it: 118, min: -363.938720703125, max: -351.2442932128906, mean: -358.304443359375, var: 5.21500301361084, global_min: -364.2081298828125
it: 119, min: -363.6539306640625, max: -352.671142578125, mean: -358.28546142578125, var: 4.695664882659912, global_min: -364.2081298828125
it: 120, min: -363.6233215332031, max: -350.9493408203125, mean: -358.0346374511719, var: 5.495575904846191, global_min: -364.2081298828125
it: 121, min: -362.9886169433594, max: -352.22845458984375, mean: -358.3269958496094, var: 4.643374443054199, global_min: -364.2081298828125
it: 122, min: -363.744140625, max: -352.65673828125, mean: -358.3322448730469, var: 4.634599685668945, global_min: -364.2081298828125
it: 123, min: -363.0661315917969, max: -352.9180603027344, mean: -358.35662841796875, var: 4.585577964782715, global_min: -364.2081298828125
it: 124, min: -363.4853210449219, max: -352.47650146484375, mean: -358.1728515625, var: 4.6123528480529785, global_min: -364.2081298828125
it: 125, min: -362.8664245605469, max: -351.2712707519531, mean: -358.0633544921875, var: 4.191850662231445, global_min: -364.2081298828125
it: 126, min: -363.4792785644531, max: -352.5352478027344, mean: -358.09765625, var: 4.415180683135986, global_min: -364.2081298828125
it: 127, min: -362.8873596191406, max: -353.15875244140625, mean: -358.1063232421875, var: 3.919745683670044, global_min: -364.2081298828125
it: 128, min: -363.02142333984375, max: -352.21356201171875, mean: -358.1499938964844, var: 4.895187854766846, global_min: -364.2081298828125
it: 129, min: -362.72216796875, max: -352.7460632324219, mean: -358.1955261230469, var: 4.403941631317139, global_min: -364.2081298828125
it: 130, min: -362.81036376953125, max: -352.9188537597656, mean: -358.1227111816406, var: 4.028876304626465, global_min: -364.2081298828125
it: 131, min: -362.599609375, max: -352.2804870605469, mean: -358.351318359375, var: 4.748069763183594, global_min: -364.2081298828125
it: 132, min: -363.64227294921875, max: -352.47747802734375, mean: -358.24896240234375, var: 4.590236186981201, global_min: -364.2081298828125
it: 133, min: -363.0024108886719, max: -351.2695617675781, mean: -358.0935974121094, var: 4.717529773712158, global_min: -364.2081298828125
it: 134, min: -363.2611389160156, max: -352.3593444824219, mean: -358.22705078125, var: 3.978019952774048, global_min: -364.2081298828125
it: 135, min: -363.317138671875, max: -351.42315673828125, mean: -358.1320495605469, var: 5.021252155303955, global_min: -364.2081298828125
it: 136, min: -363.8361511230469, max: -352.35107421875, mean: -358.1278076171875, var: 4.5469512939453125, global_min: -364.2081298828125
it: 137, min: -363.68511962890625, max: -352.8218688964844, mean: -358.2565002441406, var: 4.473259925842285, global_min: -364.2081298828125
it: 138, min: -363.2348937988281, max: -351.3643493652344, mean: -357.7318420410156, var: 5.023359298706055, global_min: -364.2081298828125
it: 139, min: -363.3153076171875, max: -352.6068420410156, mean: -358.3361511230469, var: 4.9375319480896, global_min: -364.2081298828125
it: 140, min: -363.4737854003906, max: -350.4195251464844, mean: -358.2215576171875, var: 5.399875164031982, global_min: -364.2081298828125
it: 141, min: -363.12554931640625, max: -352.4467468261719, mean: -358.2113342285156, var: 4.990934371948242, global_min: -364.2081298828125
it: 142, min: -363.483154296875, max: -352.0611267089844, mean: -358.376953125, var: 4.471786975860596, global_min: -364.2081298828125
