fitness: [[ 1.50685272e+01  4.86253510e+02]
 [-1.12216138e+03  4.84233795e+02]
 [ 2.59654755e+02  4.97922302e+02]
 [-4.31703430e+02  4.88785217e+02]
 [-5.51147194e+01  4.95408051e+02]
 [-2.29844833e+02  4.98965088e+02]
 [ 6.94226456e+01  4.85609100e+02]
 [-9.83257019e+02  4.81834534e+02]
 [-5.38639160e+02  4.71148254e+02]
 [-1.20057083e+02  4.92297394e+02]
 [-1.15062427e+03  4.84231964e+02]
 [-8.76777344e+01  4.75029968e+02]
 [-2.08532486e+02  4.89581299e+02]
 [-1.31555530e+03  5.02407990e+02]
 [-8.61791809e+02  4.67738922e+02]
 [-1.25486963e+03  4.96121735e+02]
 [-4.59992065e+02  4.76385773e+02]
 [-6.78276367e+01  4.84731842e+02]
 [-8.64324856e+00  4.73053711e+02]
 [ 8.62453308e+01  4.81704071e+02]
 [ 2.96297211e+02  4.97283966e+02]
 [-9.98189636e+02  4.82242950e+02]
 [ 5.00957847e-01  4.76284088e+02]
 [ 6.81732407e+01  4.75130127e+02]
 [-1.87195892e+02  4.95472626e+02]
 [ 2.41122223e+02  4.96017334e+02]
 [-5.94045227e+02  4.62976349e+02]
 [ 3.18921082e+02  4.77165314e+02]
 [-2.15070938e+02  4.73562408e+02]
 [-1.33092310e+03  5.00918365e+02]
 [ 3.31741600e+01  4.92062317e+02]
 [-1.14171716e+03  4.83924622e+02]
 [ 9.60575700e-01  4.81463135e+02]
 [-8.22506531e+02  4.81466614e+02]
 [-1.97117615e+02  4.97369293e+02]
 [ 2.67048531e+01  4.92891998e+02]
 [ 7.29608917e+01  4.92663727e+02]
 [-5.40472656e+02  4.87568390e+02]
 [-1.31287354e+03  5.01303864e+02]
 [-8.00140259e+02  4.64731354e+02]
 [-9.77659790e+02  4.84763855e+02]
 [-1.41471765e+03  5.09412354e+02]
 [ 3.57825623e+01  4.94610229e+02]
 [-1.68212418e+02  4.63906250e+02]
 [-1.27257947e+03  4.92234131e+02]
 [-1.99928551e+01  4.89537689e+02]
 [-7.82152649e+02  4.69719391e+02]
 [-1.29299207e+03  4.94620758e+02]
 [ 1.11874924e+02  4.64481689e+02]
 [ 6.18749046e+01  4.79930847e+02]
 [-6.86085892e+01  4.76523499e+02]
 [ 3.58670921e+01  4.82506195e+02]
 [-3.82406067e+02  4.89474579e+02]
 [ 2.08708496e+01  4.93156433e+02]
 [-1.18690529e+02  4.88407684e+02]
 [-1.00795477e+03  4.83357788e+02]
 [ 1.26442375e+02  4.85760315e+02]
 [-8.60877533e+01  4.85676941e+02]
 [ 6.68156738e+01  4.98073700e+02]
 [-6.37405762e+02  4.91684357e+02]
 [-1.00450427e+03  4.91882904e+02]
 [-1.48851004e+01  4.99169922e+02]
 [ 3.57712097e+01  4.80094208e+02]
 [-9.59536804e+02  4.89255615e+02]
 [-3.82824593e+01  4.82523102e+02]
 [-1.07501074e+03  4.89561371e+02]
 [-4.18490845e+02  4.87953583e+02]
 [-4.84891571e+02  5.02736633e+02]
 [-1.32038525e+03  4.93392273e+02]
 [-4.28818573e+02  4.77650787e+02]
 [-8.98584961e+02  4.71754852e+02]
 [-3.33174774e+02  4.97274353e+02]
 [ 1.91524261e+02  4.97893738e+02]
 [-9.77794952e+01  4.89976959e+02]
 [ 2.10834141e+01  4.87970551e+02]
 [-8.62946854e+01  4.64023590e+02]
 [-7.68104019e+01  5.06530396e+02]
 [-4.59987610e+02  4.75553558e+02]
 [-9.14167969e+02  4.76398315e+02]
 [ 1.77225449e+02  4.94304901e+02]
 [-1.77906738e+02  4.87823944e+02]
 [-7.52904663e+02  4.81792755e+02]
 [ 1.20776339e+01  5.00227936e+02]
 [-9.30343933e+02  4.88618317e+02]
 [-2.65764984e+02  4.86742615e+02]
 [-2.94696014e+02  4.81160919e+02]
 [-3.22745941e+02  5.01161560e+02]
 [-3.09127563e+02  4.83355286e+02]
 [-6.77803955e+01  4.81494659e+02]
 [-7.20421082e+02  4.66628235e+02]
 [-9.17821716e+02  4.73897278e+02]
 [-8.36265686e+02  4.69193848e+02]
 [-5.92231750e+02  4.88254974e+02]
 [ 3.38898407e+02  4.94380371e+02]
 [-1.46414749e+02  4.88490845e+02]
 [-5.64606445e+02  4.80788208e+02]
 [ 3.80803490e+01  4.87864868e+02]
 [-4.33062042e+02  4.93544525e+02]
 [-9.54869934e+02  4.89280731e+02]
 [-1.37030823e+02  4.83765350e+02]
 [-8.18466614e+02  4.63543640e+02]
 [-5.60686096e+02  4.61999756e+02]
 [-7.17871780e+01  4.74061340e+02]
 [-4.06846802e+02  4.91578613e+02]
 [-1.51289001e+02  5.10464447e+02]
 [ 9.54277496e+01  4.95492004e+02]
 [ 6.71218338e+01  4.88578400e+02]
 [-6.83003662e+02  4.65798218e+02]
 [-8.39530579e+02  4.68485016e+02]
 [ 9.02333221e+01  4.76088715e+02]
 [-7.51503906e+02  4.70487061e+02]
 [-1.23650909e+02  4.92027039e+02]
 [-8.11262226e+00  4.74978668e+02]
 [-1.09921600e+02  4.97870422e+02]
 [-1.21662903e+03  4.88972656e+02]
 [-4.61890839e+02  4.86515045e+02]
 [-1.00441456e+01  4.84533234e+02]
 [ 6.92602112e+02  4.92375946e+02]
 [-6.73933868e+01  4.77556213e+02]
 [ 5.24653244e+01  4.75092133e+02]
 [ 1.22128456e+02  5.01826172e+02]
 [-1.18993237e+03  4.83898987e+02]
 [-3.18825989e+02  5.04593811e+02]
 [-1.20758934e+02  4.75923553e+02]
 [-1.56971802e+02  4.84371735e+02]
 [-4.55688080e+02  4.73609100e+02]
 [-6.29673462e+02  4.59892670e+02]
 [ 1.13420197e+02  4.92490997e+02]
 [-1.18613388e+02  5.04177307e+02]
 [-1.39389612e+03  5.03362671e+02]
 [-9.89224091e+01  4.77908203e+02]
 [-9.20251221e+02  4.72752960e+02]
 [ 1.58649788e+01  4.96902863e+02]
 [-9.85450649e+00  4.71769867e+02]
 [-1.09109138e+02  4.98061951e+02]
 [ 3.80386429e+01  4.89350983e+02]
 [ 2.11673279e+02  4.94662933e+02]
 [ 5.58616400e+00  4.87832458e+02]
 [-6.29060181e+02  4.69185120e+02]
 [-6.17404419e+02  4.57699646e+02]
 [-7.70890869e+02  4.74726501e+02]
 [-9.85770020e+02  4.88586639e+02]
