it: 26, min: -259.8427734375, max: -63.692623138427734, mean: -122.58261108398438, var: 2124.937255859375, global_min: -260.5938720703125
it: 27, min: -250.57398986816406, max: -63.768829345703125, mean: -127.10150146484375, var: 2106.189697265625, global_min: -260.5938720703125
it: 28, min: -260.10498046875, max: -63.346282958984375, mean: -117.95987701416016, var: 1868.1636962890625, global_min: -260.5938720703125
it: 29, min: -241.515869140625, max: -63.4749641418457, mean: -124.57925415039062, var: 2085.7509765625, global_min: -260.5938720703125
it: 30, min: -250.97906494140625, max: -63.75492477416992, mean: -127.35586547851562, var: 2171.61669921875, global_min: -260.5938720703125
it: 31, min: -259.84259033203125, max: -63.80503463745117, mean: -130.53860473632812, var: 2417.491455078125, global_min: -260.5938720703125
it: 32, min: -259.7394714355469, max: -53.77217102050781, mean: -130.36019897460938, var: 2467.68310546875, global_min: -260.5938720703125
it: 33, min: -259.6106262207031, max: -54.33425521850586, mean: -127.0414810180664, var: 2283.47509765625, global_min: -260.5938720703125
it: 34, min: -259.5435485839844, max: -53.927894592285156, mean: -119.85697174072266, var: 2125.916748046875, global_min: -260.5938720703125
it: 35, min: -241.5191192626953, max: -54.27223587036133, mean: -126.40782165527344, var: 1846.6690673828125, global_min: -260.5938720703125
it: 36, min: -259.762939453125, max: -54.18360137939453, mean: -125.76242065429688, var: 2058.3525390625, global_min: -260.5938720703125
it: 37, min: -249.54710388183594, max: -54.13316345214844, mean: -118.43318176269531, var: 1508.114990234375, global_min: -260.5938720703125
it: 38, min: -241.65057373046875, max: -54.01898193359375, mean: -122.21945190429688, var: 1939.759765625, global_min: -260.5938720703125
it: 39, min: -250.69369506835938, max: -54.55894088745117, mean: -116.23027038574219, var: 1742.3160400390625, global_min: -260.5938720703125
it: 40, min: -231.817626953125, max: -54.56367111206055, mean: -114.88973999023438, var: 1654.431884765625, global_min: -260.5938720703125
it: 41, min: -231.11038208007812, max: -62.94371032714844, mean: -114.5700454711914, var: 1856.1549072265625, global_min: -260.5938720703125
it: 42, min: -231.77529907226562, max: -54.11606979370117, mean: -115.9007568359375, var: 1896.76904296875, global_min: -260.5938720703125
it: 43, min: -232.09315490722656, max: -54.361106872558594, mean: -119.03230285644531, var: 1947.656982421875, global_min: -260.5938720703125
it: 44, min: -240.82655334472656, max: -54.13975524902344, mean: -114.04368591308594, var: 2019.4056396484375, global_min: -260.5938720703125
it: 45, min: -230.96730041503906, max: -63.094024658203125, mean: -113.98841857910156, var: 1761.3018798828125, global_min: -260.5938720703125
it: 46, min: -232.36595153808594, max: -54.75771713256836, mean: -114.85234069824219, var: 1915.671875, global_min: -260.5938720703125
it: 47, min: -232.10977172851562, max: -54.46564483642578, mean: -119.524658203125, var: 2010.3505859375, global_min: -260.5938720703125
it: 48, min: -241.81504821777344, max: -63.69327926635742, mean: -115.60325622558594, var: 1789.4854736328125, global_min: -260.5938720703125
it: 49, min: -232.23631286621094, max: -53.91670227050781, mean: -120.0382080078125, var: 2052.224609375, global_min: -260.5938720703125
it: 50, min: -241.13304138183594, max: -54.11534118652344, mean: -116.19025421142578, var: 1925.69873046875, global_min: -260.5938720703125
it: 51, min: -230.4553680419922, max: -54.130455017089844, mean: -110.65837860107422, var: 1436.874755859375, global_min: -260.5938720703125
it: 52, min: -222.7267303466797, max: -45.4526252746582, mean: -110.35292053222656, var: 1686.8946533203125, global_min: -260.5938720703125
