it: 56, min: 89.66361236572266, max: 200.0, mean: 162.2434844970703, var: 950.1724853515625, global_min: 8.229764938354492
it: 57, min: 117.48806762695312, max: 200.0, mean: 159.46246337890625, var: 885.7969970703125, global_min: 8.229764938354492
it: 58, min: 101.64655303955078, max: 200.0, mean: 159.6901092529297, var: 926.8043823242188, global_min: 8.229764938354492
it: 59, min: 88.61976623535156, max: 200.0, mean: 160.87147521972656, var: 922.4464111328125, global_min: 8.229764938354492
it: 60, min: 101.64655303955078, max: 200.0, mean: 160.72189331054688, var: 928.8717041015625, global_min: 8.229764938354492
it: 61, min: 106.99650573730469, max: 200.0, mean: 159.98147583007812, var: 900.8650512695312, global_min: 8.229764938354492
it: 62, min: 101.64655303955078, max: 200.0, mean: 160.76419067382812, var: 916.1577758789062, global_min: 8.229764938354492
it: 63, min: 98.08493041992188, max: 200.0, mean: 162.7854461669922, var: 951.8818359375, global_min: 8.229764938354492
it: 64, min: 101.64655303955078, max: 200.0, mean: 161.26565551757812, var: 934.2020263671875, global_min: 8.229764938354492
it: 65, min: 79.60563659667969, max: 200.0, mean: 161.40538024902344, var: 940.3746948242188, global_min: 8.229764938354492
it: 66, min: 109.45375061035156, max: 200.0, mean: 161.44216918945312, var: 974.985107421875, global_min: 8.229764938354492
it: 67, min: 125.44155883789062, max: 200.0, mean: 161.85116577148438, var: 880.8770751953125, global_min: 8.229764938354492
it: 68, min: 125.44155883789062, max: 200.0, mean: 157.78546142578125, var: 894.3142700195312, global_min: 8.229764938354492
it: 69, min: 97.75701904296875, max: 200.0, mean: 159.7560577392578, var: 859.5471801757812, global_min: 8.229764938354492
it: 70, min: 101.64655303955078, max: 200.0, mean: 161.55577087402344, var: 889.8914794921875, global_min: 8.229764938354492
it: 71, min: 106.99650573730469, max: 200.0, mean: 161.79779052734375, var: 932.4788208007812, global_min: 8.229764938354492
it: 72, min: 108.22976684570312, max: 200.0, mean: 159.51112365722656, var: 861.7191772460938, global_min: 8.229764938354492
it: 73, min: 79.60563659667969, max: 200.0, mean: 157.02560424804688, var: 907.1849975585938, global_min: 8.229764938354492
it: 74, min: 115.73542022705078, max: 200.0, mean: 161.6544647216797, var: 933.9733276367188, global_min: 8.229764938354492
it: 75, min: 106.68671417236328, max: 200.0, mean: 160.30787658691406, var: 937.2110595703125, global_min: 8.229764938354492
it: 76, min: 109.45375061035156, max: 200.0, mean: 159.28443908691406, var: 939.4689331054688, global_min: 8.229764938354492
it: 77, min: 75.82560729980469, max: 200.0, mean: 161.07186889648438, var: 925.0661010742188, global_min: 8.229764938354492
it: 78, min: 123.48649597167969, max: 200.0, mean: 162.76724243164062, var: 905.5430297851562, global_min: 8.229764938354492
