it: 105, min: -1064.6634521484375, max: -405.40142822265625, mean: -1033.349609375, var: 3268.760009765625, global_min: -1064.6634521484375
it: 106, min: -1062.9566650390625, max: -275.58575439453125, mean: -1031.048828125, var: 6447.05859375, global_min: -1064.6634521484375
it: 107, min: -1065.0753173828125, max: -555.0548095703125, mean: -1034.97021484375, var: 2490.263916015625, global_min: -1065.0753173828125
it: 108, min: -1063.345458984375, max: -749.62646484375, mean: -1040.549560546875, var: 1091.6734619140625, global_min: -1065.0753173828125
it: 109, min: -1064.3172607421875, max: -811.4569091796875, mean: -1039.98828125, var: 1122.9180908203125, global_min: -1065.0753173828125
it: 110, min: -1065.1588134765625, max: -731.6427612304688, mean: -1041.863525390625, var: 992.6828002929688, global_min: -1065.1588134765625
it: 111, min: -1063.399658203125, max: -803.0445556640625, mean: -1041.13623046875, var: 1141.2489013671875, global_min: -1065.1588134765625
it: 112, min: -1065.3349609375, max: -747.7311401367188, mean: -1040.67041015625, var: 1496.38623046875, global_min: -1065.3349609375
it: 113, min: -1067.0811767578125, max: -435.03289794921875, mean: -1038.568115234375, var: 2648.006591796875, global_min: -1067.0811767578125
it: 114, min: -1067.1309814453125, max: -735.4169311523438, mean: -1044.0738525390625, var: 868.458251953125, global_min: -1067.1309814453125
it: 115, min: -1064.848876953125, max: -770.5462036132812, mean: -1041.44091796875, var: 1096.4649658203125, global_min: -1067.1309814453125
it: 116, min: -1061.8245849609375, max: -778.8042602539062, mean: -1042.3863525390625, var: 895.0467529296875, global_min: -1067.1309814453125
it: 117, min: -1065.6754150390625, max: -662.4343872070312, mean: -1042.0289306640625, var: 1256.06494140625, global_min: -1067.1309814453125
it: 118, min: -1064.1585693359375, max: -728.5413818359375, mean: -1042.804443359375, var: 985.5866088867188, global_min: -1067.1309814453125
it: 119, min: -1063.13671875, max: -816.1958618164062, mean: -1045.55908203125, var: 570.5126342773438, global_min: -1067.1309814453125
it: 120, min: -1067.340576171875, max: -591.2225341796875, mean: -1036.2998046875, var: 2944.5849609375, global_min: -1067.340576171875
it: 121, min: -1066.439453125, max: -528.2587890625, mean: -1039.642333984375, var: 2659.568603515625, global_min: -1067.340576171875
it: 122, min: -1064.0965576171875, max: -805.2714233398438, mean: -1047.6708984375, var: 344.6868591308594, global_min: -1067.340576171875
it: 123, min: -1066.8358154296875, max: -762.9434814453125, mean: -1045.3726806640625, var: 826.2079467773438, global_min: -1067.340576171875
it: 124, min: -1066.644775390625, max: -568.7252807617188, mean: -1034.6507568359375, var: 3201.38671875, global_min: -1067.340576171875
it: 125, min: -1066.8321533203125, max: -595.8331298828125, mean: -1046.43603515625, var: 997.029052734375, global_min: -1067.340576171875
it: 126, min: -1063.2010498046875, max: -805.42041015625, mean: -1044.4715576171875, var: 754.7926635742188, global_min: -1067.340576171875
it: 127, min: -1065.010498046875, max: -765.5022583007812, mean: -1044.6513671875, var: 833.3189697265625, global_min: -1067.340576171875
it: 128, min: -1068.5982666015625, max: -838.1812744140625, mean: -1046.2286376953125, var: 735.9928588867188, global_min: -1068.5982666015625
it: 129, min: -1067.2198486328125, max: -514.6082153320312, mean: -1029.53173828125, var: 6664.849609375, global_min: -1068.5982666015625
it: 130, min: -1064.274169921875, max: -543.0940551757812, mean: -1037.731689453125, var: 4112.96728515625, global_min: -1068.5982666015625
it: 131, min: -1066.8408203125, max: -556.4356689453125, mean: -1046.5772705078125, var: 1272.6966552734375, global_min: -1068.5982666015625
it: 132, min: -1066.2984619140625, max: -666.7579956054688, mean: -1045.68603515625, var: 1086.4107666015625, global_min: -1068.5982666015625
it: 133, min: -1066.5736083984375, max: -539.2506103515625, mean: -1040.881591796875, var: 3970.99365234375, global_min: -1068.5982666015625
it: 134, min: -1067.652587890625, max: -520.886474609375, mean: -1022.607177734375, var: 7891.97216796875, global_min: -1068.5982666015625
it: 135, min: -1067.7835693359375, max: -611.3613891601562, mean: -1041.7049560546875, var: 2520.95849609375, global_min: -1068.5982666015625
it: 136, min: -1062.20068359375, max: -696.6995849609375, mean: -1049.22119140625, var: 354.7804260253906, global_min: -1068.5982666015625
it: 137, min: -1068.78466796875, max: -579.899169921875, mean: -1046.6036376953125, var: 1608.677978515625, global_min: -1068.78466796875
it: 138, min: -1069.237060546875, max: -499.1345520019531, mean: -999.7660522460938, var: 16870.412109375, global_min: -1069.237060546875
it: 139, min: -1067.88037109375, max: -544.0394287109375, mean: -1019.4015502929688, var: 10075.375, global_min: -1069.237060546875
it: 140, min: -1064.2122802734375, max: -674.1840209960938, mean: -1048.674560546875, var: 479.2249450683594, global_min: -1069.237060546875
it: 141, min: -1067.730712890625, max: -952.9757690429688, mean: -1049.82080078125, var: 51.35329818725586, global_min: -1069.237060546875
it: 142, min: -1067.5906982421875, max: -633.6643676757812, mean: -1045.01220703125, var: 2632.383056640625, global_min: -1069.237060546875
it: 143, min: -1069.99560546875, max: -545.92236328125, mean: -976.1254272460938, var: 22306.431640625, global_min: -1069.99560546875
