it: 114, min: -1993.06640625, max: -52.603092193603516, mean: -1700.8345947265625, var: 125985.265625, global_min: -2066.06396484375
it: 115, min: -1986.2099609375, max: -72.59527587890625, mean: -1687.9527587890625, var: 141963.296875, global_min: -2066.06396484375
it: 116, min: -1975.437744140625, max: -61.32608413696289, mean: -1728.726806640625, var: 101710.6953125, global_min: -2066.06396484375
it: 117, min: -1981.015380859375, max: -28.72213363647461, mean: -1721.69775390625, var: 106886.78125, global_min: -2066.06396484375
it: 118, min: -2005.8214111328125, max: -75.2237548828125, mean: -1733.860107421875, var: 112185.75, global_min: -2066.06396484375
it: 119, min: -2023.0986328125, max: -45.22490310668945, mean: -1754.9615478515625, var: 104108.8359375, global_min: -2066.06396484375
it: 120, min: -2052.006591796875, max: -32.72032928466797, mean: -1727.97412109375, var: 171760.75, global_min: -2066.06396484375
it: 121, min: -2083.958984375, max: -17.753129959106445, mean: -1729.18408203125, var: 167209.0, global_min: -2083.958984375
it: 122, min: -2100.436767578125, max: -66.32527923583984, mean: -1734.693359375, var: 184225.859375, global_min: -2100.436767578125
it: 123, min: -2074.0107421875, max: -85.45623016357422, mean: -1766.1063232421875, var: 164517.59375, global_min: -2100.436767578125
it: 124, min: -2077.32373046875, max: -236.57862854003906, mean: -1869.6871337890625, var: 57983.609375, global_min: -2100.436767578125
it: 125, min: -2093.7001953125, max: -46.96183395385742, mean: -1828.9107666015625, var: 122868.234375, global_min: -2100.436767578125
it: 126, min: -2154.039794921875, max: -74.35572052001953, mean: -1862.052734375, var: 94545.578125, global_min: -2154.039794921875
it: 127, min: -2156.143310546875, max: -43.2820930480957, mean: -1830.931640625, var: 188852.859375, global_min: -2156.143310546875
it: 128, min: -2188.085205078125, max: -54.35365676879883, mean: -1892.9505615234375, var: 122595.71875, global_min: -2188.085205078125
it: 129, min: -2214.704345703125, max: -68.41604614257812, mean: -1884.9091796875, var: 147049.875, global_min: -2214.704345703125
it: 130, min: -2234.1337890625, max: -67.03011322021484, mean: -1888.8406982421875, var: 161306.171875, global_min: -2234.1337890625
it: 131, min: -2286.049072265625, max: -89.36914825439453, mean: -1951.488525390625, var: 84932.875, global_min: -2286.049072265625
it: 132, min: -2244.179443359375, max: -75.7675552368164, mean: -1909.921630859375, var: 168054.921875, global_min: -2286.049072265625
it: 133, min: -2235.2197265625, max: -109.98944091796875, mean: -1943.9051513671875, var: 123653.15625, global_min: -2286.049072265625
it: 134, min: -2245.290283203125, max: -102.64756774902344, mean: -1963.234619140625, var: 92334.40625, global_min: -2286.049072265625
it: 135, min: -2250.483642578125, max: -111.34454345703125, mean: -1938.6798095703125, var: 155080.5625, global_min: -2286.049072265625
it: 136, min: -2261.451171875, max: -85.9637451171875, mean: -1916.357177734375, var: 219005.0, global_min: -2286.049072265625
it: 137, min: -2280.98095703125, max: -95.02009582519531, mean: -1945.5499267578125, var: 175090.3125, global_min: -2286.049072265625
it: 138, min: -2284.7685546875, max: -133.12110900878906, mean: -1956.9349365234375, var: 158640.109375, global_min: -2286.049072265625
it: 139, min: -2303.11376953125, max: -82.3573226928711, mean: -1966.3897705078125, var: 166201.78125, global_min: -2303.11376953125
it: 140, min: -2322.1181640625, max: -85.78632354736328, mean: -1997.672607421875, var: 111337.4140625, global_min: -2322.1181640625
it: 141, min: -2302.123046875, max: -60.86971664428711, mean: -1954.5316162109375, var: 194659.09375, global_min: -2322.1181640625
it: 142, min: -2345.667236328125, max: -52.427669525146484, mean: -1891.3756103515625, var: 329795.40625, global_min: -2345.667236328125
it: 143, min: -2421.65185546875, max: -64.74109649658203, mean: -1907.1319580078125, var: 300950.15625, global_min: -2421.65185546875
it: 144, min: -2391.732666015625, max: -74.29544067382812, mean: -1928.4571533203125, var: 308982.875, global_min: -2421.65185546875
it: 145, min: -2415.527099609375, max: -89.4216537475586, mean: -1898.0264892578125, var: 352407.9375, global_min: -2421.65185546875
it: 146, min: -2431.880859375, max: -84.79488372802734, mean: -1944.0533447265625, var: 248098.96875, global_min: -2431.880859375
it: 147, min: -2355.07666015625, max: -87.03300476074219, mean: -1930.86962890625, var: 260329.3125, global_min: -2431.880859375
it: 148, min: -2386.240234375, max: -105.34629821777344, mean: -1949.0477294921875, var: 237178.28125, global_min: -2431.880859375
it: 149, min: -2384.00146484375, max: -74.23188781738281, mean: -1972.0399169921875, var: 218772.0, global_min: -2431.880859375
it: 150, min: -2420.101318359375, max: -136.8779296875, mean: -1916.40576171875, var: 296280.78125, global_min: -2431.880859375
it: 151, min: -2425.718994140625, max: -101.71109008789062, mean: -1945.3878173828125, var: 270534.53125, global_min: -2431.880859375
it: 152, min: -2397.332275390625, max: -119.18362426757812, mean: -1907.58837890625, var: 334981.84375, global_min: -2431.880859375
it: 153, min: -2471.74267578125, max: -104.01223754882812, mean: -1896.763916015625, var: 308009.6875, global_min: -2471.74267578125
it: 154, min: -2361.471435546875, max: -138.1081085205078, mean: -1971.4774169921875, var: 194815.171875, global_min: -2471.74267578125
it: 155, min: -2388.525634765625, max: -127.30673217773438, mean: -1975.7265625, var: 197343.75, global_min: -2471.74267578125
it: 156, min: -2364.38720703125, max: -270.1025390625, mean: -1995.7061767578125, var: 194824.75, global_min: -2471.74267578125
it: 157, min: -2395.84375, max: -179.97813415527344, mean: -2048.076416015625, var: 168205.671875, global_min: -2471.74267578125
it: 158, min: -2456.82421875, max: -54.489463806152344, mean: -1968.0374755859375, var: 298154.34375, global_min: -2471.74267578125
it: 159, min: -2438.501220703125, max: -79.30902099609375, mean: -1970.9219970703125, var: 253494.390625, global_min: -2471.74267578125
it: 160, min: -2452.5439453125, max: -82.96121978759766, mean: -1946.71875, var: 315870.75, global_min: -2471.74267578125
it: 161, min: -2459.38037109375, max: -78.45539093017578, mean: -1906.8165283203125, var: 336990.03125, global_min: -2471.74267578125
it: 162, min: -2429.00634765625, max: -76.0632095336914, mean: -1957.715576171875, var: 255736.21875, global_min: -2471.74267578125
it: 163, min: -2364.6611328125, max: -94.20707702636719, mean: -1923.294921875, var: 282509.1875, global_min: -2471.74267578125
it: 164, min: -2358.39599609375, max: -89.44053649902344, mean: -1935.150634765625, var: 231589.109375, global_min: -2471.74267578125
it: 165, min: -2303.1064453125, max: -88.04610443115234, mean: -1969.75244140625, var: 149561.78125, global_min: -2471.74267578125
it: 166, min: -2328.664306640625, max: -125.6833267211914, mean: -1960.5106201171875, var: 148638.0, global_min: -2471.74267578125
it: 167, min: -2300.904296875, max: -80.5300064086914, mean: -1964.9696044921875, var: 162991.59375, global_min: -2471.74267578125
it: 168, min: -2302.41259765625, max: -53.76176071166992, mean: -1952.7093505859375, var: 186037.859375, global_min: -2471.74267578125
it: 169, min: -2348.62060546875, max: -111.26907348632812, mean: -1919.5977783203125, var: 283406.3125, global_min: -2471.74267578125
it: 170, min: -2373.315185546875, max: -53.604095458984375, mean: -1863.0228271484375, var: 345275.90625, global_min: -2471.74267578125
it: 171, min: -2379.994384765625, max: -51.66596221923828, mean: -1908.61279296875, var: 312411.625, global_min: -2471.74267578125
it: 172, min: -2345.541259765625, max: -67.23570251464844, mean: -1930.554443359375, var: 254332.734375, global_min: -2471.74267578125
it: 173, min: -2311.815185546875, max: -62.22175979614258, mean: -1950.252197265625, var: 238654.640625, global_min: -2471.74267578125
it: 174, min: -2338.026123046875, max: -34.59516906738281, mean: -1954.0032958984375, var: 233786.234375, global_min: -2471.74267578125
it: 175, min: -2303.90234375, max: -49.65803527832031, mean: -1975.1832275390625, var: 210427.75, global_min: -2471.74267578125
it: 176, min: -2309.4189453125, max: -64.36409759521484, mean: -1944.96044921875, var: 236942.359375, global_min: -2471.74267578125
it: 177, min: -2425.244140625, max: -70.86368560791016, mean: -1998.6451416015625, var: 171601.234375, global_min: -2471.74267578125
it: 178, min: -2359.107177734375, max: -62.47809600830078, mean: -1992.3802490234375, var: 193838.875, global_min: -2471.74267578125
it: 179, min: -2377.7900390625, max: -83.54927062988281, mean: -1946.9371337890625, var: 257943.921875, global_min: -2471.74267578125
it: 180, min: -2383.497314453125, max: -96.8947982788086, mean: -1930.5360107421875, var: 284130.90625, global_min: -2471.74267578125
it: 181, min: -2363.580810546875, max: -43.156192779541016, mean: -1838.849365234375, var: 439443.875, global_min: -2471.74267578125
it: 182, min: -2421.298583984375, max: -30.350894927978516, mean: -1892.3802490234375, var: 377698.46875, global_min: -2471.74267578125
it: 183, min: -2413.9189453125, max: -41.811180114746094, mean: -1931.5108642578125, var: 289736.15625, global_min: -2471.74267578125
it: 184, min: -2416.243896484375, max: -96.71827697753906, mean: -1997.0008544921875, var: 201247.109375, global_min: -2471.74267578125
it: 185, min: -2367.42822265625, max: -84.56305694580078, mean: -1973.3365478515625, var: 191940.109375, global_min: -2471.74267578125
it: 186, min: -2322.2353515625, max: -60.49889373779297, mean: -1936.1680908203125, var: 258746.0, global_min: -2471.74267578125
it: 187, min: -2346.563720703125, max: -91.64689636230469, mean: -2000.2425537109375, var: 156710.203125, global_min: -2471.74267578125
it: 188, min: -2395.926025390625, max: -63.659053802490234, mean: -1944.5263671875, var: 203027.796875, global_min: -2471.74267578125
it: 189, min: -2318.15771484375, max: -93.93781280517578, mean: -1981.578369140625, var: 185379.5625, global_min: -2471.74267578125
it: 190, min: -2367.884765625, max: -202.74977111816406, mean: -1991.6854248046875, var: 178470.203125, global_min: -2471.74267578125
it: 191, min: -2384.385986328125, max: -139.58656311035156, mean: -2051.83251953125, var: 139832.890625, global_min: -2471.74267578125
it: 192, min: -2404.910888671875, max: -31.32518196105957, mean: -2031.317138671875, var: 183782.109375, global_min: -2471.74267578125
it: 193, min: -2404.861572265625, max: -41.58973693847656, mean: -2039.92333984375, var: 202252.296875, global_min: -2471.74267578125
it: 194, min: -2416.926513671875, max: -361.9237365722656, mean: -2093.09130859375, var: 120273.4375, global_min: -2471.74267578125
it: 195, min: -2462.47314453125, max: -75.07049560546875, mean: -2044.41650390625, var: 211064.859375, global_min: -2471.74267578125
it: 196, min: -2448.6474609375, max: -72.59323120117188, mean: -2032.9830322265625, var: 207826.796875, global_min: -2471.74267578125
