it: 127, min: -1099.066162109375, max: -237.87791442871094, mean: -577.9193725585938, var: 10431.7900390625, global_min: -1148.342041015625
it: 128, min: -1132.1954345703125, max: -387.23297119140625, mean: -581.423095703125, var: 9544.3837890625, global_min: -1148.342041015625
it: 129, min: -1026.35595703125, max: -298.93487548828125, mean: -579.7650146484375, var: 9790.015625, global_min: -1148.342041015625
it: 130, min: -1175.18310546875, max: -208.50848388671875, mean: -590.7510986328125, var: 12438.349609375, global_min: -1175.18310546875
it: 131, min: -1087.1436767578125, max: -273.06103515625, mean: -592.0194702148438, var: 11169.83203125, global_min: -1175.18310546875
it: 132, min: -951.1017456054688, max: -235.86288452148438, mean: -592.84521484375, var: 9428.3857421875, global_min: -1175.18310546875
it: 133, min: -1143.0904541015625, max: -340.5691833496094, mean: -609.4821166992188, var: 9180.6181640625, global_min: -1175.18310546875
it: 134, min: -1125.6263427734375, max: -313.5166015625, mean: -607.8900756835938, var: 10366.65625, global_min: -1175.18310546875
it: 135, min: -1101.481689453125, max: -369.3833312988281, mean: -605.3148803710938, var: 8390.783203125, global_min: -1175.18310546875
it: 136, min: -1065.198486328125, max: -369.45819091796875, mean: -605.1990966796875, var: 8311.5576171875, global_min: -1175.18310546875
it: 137, min: -1003.60888671875, max: -415.6572265625, mean: -611.5804443359375, var: 8434.703125, global_min: -1175.18310546875
it: 138, min: -1080.689697265625, max: -344.25225830078125, mean: -606.7164916992188, var: 9166.3486328125, global_min: -1175.18310546875
it: 139, min: -943.8328247070312, max: -391.919189453125, mean: -613.0047607421875, var: 7782.77001953125, global_min: -1175.18310546875
it: 140, min: -963.8473510742188, max: -327.1768798828125, mean: -608.1026611328125, var: 8353.869140625, global_min: -1175.18310546875
it: 141, min: -885.0152587890625, max: -357.7535400390625, mean: -610.0731201171875, var: 7429.37939453125, global_min: -1175.18310546875
it: 142, min: -1051.9796142578125, max: -334.9677429199219, mean: -604.8815307617188, var: 8305.9306640625, global_min: -1175.18310546875
it: 143, min: -1097.0316162109375, max: -192.19554138183594, mean: -608.9066162109375, var: 8943.490234375, global_min: -1175.18310546875
it: 144, min: -1036.1522216796875, max: -319.41693115234375, mean: -618.9008178710938, var: 7207.14990234375, global_min: -1175.18310546875
it: 145, min: -953.1431884765625, max: -194.37185668945312, mean: -605.536865234375, var: 8389.8681640625, global_min: -1175.18310546875
it: 146, min: -984.7379150390625, max: -284.5211181640625, mean: -613.1627807617188, var: 8493.783203125, global_min: -1175.18310546875
it: 147, min: -1123.9666748046875, max: -331.2718811035156, mean: -621.4978637695312, var: 10432.095703125, global_min: -1175.18310546875
it: 148, min: -1074.3756103515625, max: -346.3044128417969, mean: -624.7472534179688, var: 10138.197265625, global_min: -1175.18310546875
it: 149, min: -1244.71533203125, max: -331.8970031738281, mean: -627.10595703125, var: 11604.205078125, global_min: -1244.71533203125
it: 150, min: -1047.1859130859375, max: -317.5346374511719, mean: -634.3678588867188, var: 10460.916015625, global_min: -1244.71533203125
it: 151, min: -1194.0361328125, max: -292.0505065917969, mean: -628.9468383789062, var: 11857.0751953125, global_min: -1244.71533203125
it: 152, min: -1151.097412109375, max: -156.736328125, mean: -626.8364868164062, var: 13072.474609375, global_min: -1244.71533203125
it: 153, min: -1085.6593017578125, max: -180.0778045654297, mean: -617.1717529296875, var: 11064.2421875, global_min: -1244.71533203125
it: 154, min: -1106.9732666015625, max: -190.49655151367188, mean: -623.0275268554688, var: 12037.478515625, global_min: -1244.71533203125
it: 155, min: -1167.51416015625, max: -357.7072448730469, mean: -628.2960815429688, var: 11841.2001953125, global_min: -1244.71533203125
it: 156, min: -1160.2559814453125, max: -332.04681396484375, mean: -633.8009643554688, var: 12478.029296875, global_min: -1244.71533203125
it: 157, min: -1204.4193115234375, max: -357.9900817871094, mean: -619.6624755859375, var: 12233.4248046875, global_min: -1244.71533203125
it: 158, min: -1014.9449462890625, max: -307.2237854003906, mean: -620.2489013671875, var: 11183.9775390625, global_min: -1244.71533203125
it: 159, min: -1060.6400146484375, max: -308.05413818359375, mean: -605.2063598632812, var: 10898.7060546875, global_min: -1244.71533203125
it: 160, min: -947.3519897460938, max: -194.7006072998047, mean: -618.4757080078125, var: 9557.087890625, global_min: -1244.71533203125
it: 161, min: -1048.0552978515625, max: -203.24258422851562, mean: -616.529052734375, var: 8827.5302734375, global_min: -1244.71533203125
it: 162, min: -1058.8956298828125, max: -298.74688720703125, mean: -616.9344482421875, var: 8912.154296875, global_min: -1244.71533203125
it: 163, min: -978.4937744140625, max: -198.24851989746094, mean: -610.0556030273438, var: 9373.865234375, global_min: -1244.71533203125
it: 164, min: -945.5958251953125, max: -313.124267578125, mean: -613.221923828125, var: 8314.9501953125, global_min: -1244.71533203125
it: 165, min: -1168.4122314453125, max: -330.8152770996094, mean: -617.2565307617188, var: 8202.419921875, global_min: -1244.71533203125
it: 166, min: -1013.7570190429688, max: -346.3935241699219, mean: -613.9298095703125, var: 8158.2958984375, global_min: -1244.71533203125
it: 167, min: -1102.9449462890625, max: -373.5170593261719, mean: -614.4580078125, var: 9557.1171875, global_min: -1244.71533203125
it: 168, min: -885.2720947265625, max: -263.20916748046875, mean: -609.275634765625, var: 8029.2041015625, global_min: -1244.71533203125
