fitness: [[ 3.28824222e-01  4.78460876e+02]
 [-7.81887207e+02  4.80402588e+02]
 [-3.60920166e+02  5.05542542e+02]
 [-6.41444824e+02  4.63053833e+02]
 [-8.22987823e+01  4.68662384e+02]
 [ 2.32073456e+02  4.79183929e+02]
 [-2.16726093e+01  4.93700348e+02]
 [ 2.40911365e+00  5.01289368e+02]
 [-9.93902771e+02  4.81452789e+02]
 [-7.41317139e+01  4.92391113e+02]
 [ 9.59186459e+00  4.89687164e+02]
 [-8.38043137e+01  4.87048676e+02]
 [ 4.54820938e+01  4.88679688e+02]
 [-1.39814429e+03  4.92779816e+02]
 [-1.20799463e+03  4.86790375e+02]
 [-7.62640610e+01  4.97492035e+02]
 [-4.38632050e+02  4.99794037e+02]
 [-1.02145154e+03  4.86745239e+02]
 [ 8.32164993e+01  4.92976044e+02]
 [ 2.28921509e+00  4.83912354e+02]
 [-3.90749512e+02  4.92926453e+02]
 [ 2.43533447e+02  4.78189514e+02]
 [-5.70463989e+02  4.64954498e+02]
 [-1.42797718e+01  4.76760284e+02]
 [-8.94017410e+01  4.53638184e+02]
 [ 5.66187782e+01  4.92704254e+02]
 [-6.23494568e+02  4.67354523e+02]
 [ 2.82655945e+02  4.83494049e+02]
 [-2.14716431e+02  5.01352173e+02]
 [-7.02956360e+02  4.70298218e+02]
 [-7.63055786e+02  4.76195190e+02]
 [-4.17182579e+01  4.84369781e+02]
 [-5.25431152e+02  4.90146423e+02]
 [-8.82560959e+01  4.84062744e+02]
 [ 2.10538208e+02  4.88808075e+02]
 [-4.76868629e+01  4.88433960e+02]
 [-6.55192490e+01  4.81288574e+02]
 [-1.18697034e+03  4.95801758e+02]
 [-9.16436279e+02  4.60847504e+02]
 [-5.11193176e+02  4.65462189e+02]
 [-1.34960861e+02  4.76129150e+02]
 [-4.20741129e+00  4.89290009e+02]
 [-3.53437317e+02  4.84884766e+02]
 [ 9.84584122e+01  4.99318695e+02]
 [-1.56025330e+02  4.91981171e+02]
 [ 5.04921074e+01  4.77725555e+02]
 [-6.56575623e+02  4.63643402e+02]
 [-5.02025574e+02  4.83898041e+02]
 [ 2.27808189e+00  5.04519653e+02]
 [-7.27508179e+02  5.16765198e+02]
 [-2.99500854e+02  4.79469940e+02]
 [-2.36143936e+02  4.85651337e+02]
 [-5.22024078e+01  5.11240906e+02]
 [ 3.07671356e+02  4.79455444e+02]
 [ 1.19390556e+02  4.85621918e+02]
 [-2.34857010e+02  4.84011566e+02]
 [-7.11488708e+02  4.72645416e+02]
 [-3.75741058e+02  4.62974487e+02]
 [-1.00471356e+03  4.97612183e+02]
 [-2.23850422e+01  4.92199829e+02]
 [-1.08020508e+02  4.88329712e+02]
 [-9.33581360e+02  4.89487549e+02]
 [ 3.91241074e+01  4.90330536e+02]
 [-9.83004272e+02  4.79630005e+02]
 [-6.11931335e+02  4.64526703e+02]
 [ 3.92487549e+02  4.99042755e+02]
 [-9.72535400e+02  4.86855042e+02]
 [-5.46455765e+01  4.83997528e+02]
 [ 5.71851273e+01  4.82083435e+02]
 [-4.51515289e+02  4.67568481e+02]
 [-6.00579468e+02  4.67361786e+02]
 [-2.33774094e+02  5.01810516e+02]
 [-4.88052979e+02  4.76462250e+02]
 [ 6.71409988e+01  4.85651093e+02]
 [-8.97468933e+02  4.71996124e+02]
 [-7.42044067e+01  4.79376343e+02]
 [ 1.19863663e+02  4.75851227e+02]
 [-5.41049377e+02  4.71815552e+02]
 [-6.25321899e+02  4.66529114e+02]
 [-8.08092773e+02  4.70681458e+02]
 [-1.02430408e+03  4.75281586e+02]
 [ 3.18044243e+01  4.88701904e+02]
 [-6.82240982e+01  4.86358368e+02]
 [-7.23670626e+00  4.63505951e+02]
 [ 3.65134888e+01  4.71715851e+02]
 [-1.15156079e+03  4.90314789e+02]
 [ 2.29380157e+02  4.90652313e+02]
 [-5.21011963e+02  4.78651093e+02]
 [-3.63963959e+02  5.07595551e+02]
 [-6.44422852e+02  4.73821594e+02]
 [-1.48467264e+01  4.81246277e+02]
 [-2.85098610e+01  4.97825958e+02]
 [-1.97186813e+01  4.92543488e+02]
 [-5.30715446e+01  4.84444305e+02]
 [-2.11647430e+02  4.85572906e+02]
 [-1.01053296e+03  4.76883301e+02]
 [-7.76340637e+02  4.80755157e+02]
 [-9.77036499e+02  4.77369141e+02]
 [-1.89003235e+02  4.90833130e+02]
 [-4.84490021e+02  4.82862274e+02]
 [-9.61961121e+02  4.87264496e+02]
 [-1.18595691e+03  4.96278564e+02]
 [-4.05645294e+01  4.71496399e+02]
 [-8.62171387e+02  4.66108551e+02]
 [-3.21116943e+01  4.66980988e+02]
 [-1.73133945e+01  4.76543579e+02]
 [ 1.72322159e+02  4.80598755e+02]
 [-1.57758884e+01  4.83628265e+02]
 [-9.37708252e+02  4.74149963e+02]
 [-2.91518574e+01  4.91077667e+02]
 [-2.80294762e+01  4.86709930e+02]
 [-4.44105957e+02  5.03606445e+02]
 [-1.39415817e+02  4.91736084e+02]
 [-9.50201782e+02  4.78727661e+02]
 [-1.16919177e+03  4.92291901e+02]
 [-2.46769638e+02  5.07437988e+02]
 [-1.32562244e+03  4.98838593e+02]
 [-7.50018921e+02  4.74582977e+02]
 [ 2.50705934e+00  4.69313324e+02]
 [-1.92576599e+02  5.04227081e+02]
 [-8.93768005e+01  4.96005920e+02]
 [-1.68455032e+02  4.77294586e+02]
 [ 1.24077654e+00  4.70688904e+02]
 [ 1.37337555e+02  4.83994720e+02]
 [-3.42795013e+02  4.55045380e+02]
 [-1.31297012e+02  5.07625061e+02]
 [-4.95869690e+02  4.70221558e+02]
 [-3.15284710e+01  4.96600891e+02]
 [-1.18291931e+01  4.74527191e+02]
 [-8.66053650e+02  4.78078857e+02]
 [-6.49990051e+02  4.74857361e+02]
 [-5.38709290e+02  4.94600647e+02]], non_dominated_rank: [19 21  4  8  6  4  0 22  1  1  8  0  1  3 17 19 18  0  2  0  7  3  5 28
 24 21  1  3  5 23  5  0  5 21  2  2  1 20 21 27 20  1  2  5 15  9 10 22
  4  3  3  6  2  4 28 10  4  4  1  8  3 27 18  2  5 13  7  5  2 11 16 11
 17  0  4  6 14  4  2  3  2  4  2 21  5  0  4 17  0 20  6  1 11  1  6  3
 18 14  2 19  2  0 14 25  3 14  3  3 23  2  4 19  3 25  0  0  9  2  6  3
 20  4  0 20  5  3 18  8  0  9 29 22  4  0 14 17  2 26  1  2  3  4  4 15
  8 21  2  4 15  5 14  5  0  6  1  3  4 12  5 21  6  9 13  7 16  6 12  3
 19  3  3  4  3  1  1  3  6  4 20 11  3 26 12 11  0  9  1 17 17 28 11 10
 29  1 30  3 20 15  0  3 16 29 15 24 18  5  4  5 19 14 13 24 22 12 10 17
 22 17  9 16 25 14 31 18 14  5  8 21 20  6 14  2  7 23  3 20 22  5  1 16
 18 20  0 11 27 15 14  7  2 27 23  4 16  3 23  4 13  1 21 21 20 26 22 13
  3  3 25  6  9  8 17  4 13 21 24 27  2 22 22 19 22  1  2 23 14  5 26 20
 15 20  8 17  3 25  8 24 18  6  8 19 12 18 26 20 16  4  0 10 13 21 15 27
 21 18  4 13 27 11 13 17 25 23 23 17  7  7  7 23 19  9 23  2  6 29  6 18
 20 11  9 18 12 22  2 15 18 10  7  5  0 22 19  8 16  4 27 12 17  8 19 26
 24 19 18  1  9  2 19 13  7  5 14  2 12 16 23 19  1 21 20 14 21  3  4 19
  3  7 14 20 22 13 15 22  2 23 11 25 16  5  8 12]
